auftragsnr,nach_ort,ausgangsrel,stpl,betrag,h1_round,h2_ceil,h3_floor,h4_interp,delta_round,delta_ceil,delta_floor,delta_interp
7091200010702005,Padova,3516,17.0000,630.0000,599.6250,599.6250,599.6250,599.6250,30.3750,30.3750,30.3750,30.3750
7091200010686008,Padova,3721,11.8500,555.0000,476.6250,476.6250,461.2500,474.3187,78.3750,78.3750,93.7500,80.6813
7091200010707000,Padova,3721,13.0000,540.0000,507.3750,507.3750,507.3750,507.3750,32.6250,32.6250,32.6250,32.6250
7092010023376006,Padova,3721,28.5000,1015.0000,917.3750,948.1250,917.3750,932.7500,97.6250,66.8750,97.6250,82.2500
7091200010725004,Padova,3721,19.0000,635.0000,650.8750,650.8750,650.8750,650.8750,-15.8750,-15.8750,-15.8750,-15.8750
7091200010761002,Padova,3516,6.0000,240.0000,246.0000,246.0000,246.0000,246.0000,-6.0000,-6.0000,-6.0000,-6.0000
7091200010770004,Padova,3721,12.0000,510.0000,476.6250,476.6250,476.6250,476.6250,33.3750,33.3750,33.3750,33.3750
7091200010773005,Padova,3721,16.0000,590.0000,558.6250,558.6250,558.6250,558.6250,31.3750,31.3750,31.3750,31.3750
7091200010782007,Padova,3721,8.0000,360.0000,322.8750,322.8750,322.8750,322.8750,37.1250,37.1250,37.1250,37.1250
7091200010810007,Padova,3721,12.2500,585.0000,476.6250,507.3750,476.6250,484.3125,108.3750,77.6250,108.3750,100.6875
7091200010881007,Padova,3721,29.3000,1063.7500,948.1250,973.7500,948.1250,955.8125,115.6250,90.0000,115.6250,107.9375
7091200010835000,Padova,3516,19.0000,650.8800,650.8750,650.8750,650.8750,650.8750,0.0050,0.0050,0.0050,0.0050
7091200010840004,Padova,3516,26.0000,911.1300,866.1250,866.1250,866.1250,866.1250,45.0050,45.0050,45.0050,45.0050
7091200010867001,Padova,3516,16.0000,558.6300,558.6250,558.6250,558.6250,558.6250,0.0050,0.0050,0.0050,0.0050
7091200010886002,Padova,3516,30.1000,973.7500,973.7500,1076.2500,973.7500,984.0000,0.0000,-102.5000,0.0000,-10.2500
7091200010917003,Padova,3516,23.0000,843.3800,753.3750,753.3750,753.3750,753.3750,90.0050,90.0050,90.0050,90.0050
7091200010927002,Padova,3516,15.0000,572.8800,527.8750,527.8750,527.8750,527.8750,45.0050,45.0050,45.0050,45.0050
7091200010936004,Padova,3721,18.1000,740.8800,630.3750,650.8750,630.3750,632.4250,110.5050,90.0050,110.5050,108.4550
7091200010942005,Padova,3721,19.2500,766.5000,650.8750,676.5000,650.8750,657.2812,115.6250,90.0000,115.6250,109.2188
7091200010963000,Padova,3516,20.0000,766.5000,676.5000,676.5000,676.5000,676.5000,90.0000,90.0000,90.0000,90.0000
7091200010977007,Padova,3721,17.0000,603.6200,599.6250,599.6250,599.6250,599.6250,3.9950,3.9950,3.9950,3.9950
7091200010991003,Padova,3516,28.0000,1007.3800,917.3750,917.3750,917.3750,917.3750,90.0050,90.0050,90.0050,90.0050
7091200011016002,Padova,3721,24.0000,874.1300,784.1250,784.1250,784.1250,784.1250,90.0050,90.0050,90.0050,90.0050
7091200010999009,Padova,3721,8.0000,322.8800,322.8750,322.8750,322.8750,322.8750,0.0050,0.0050,0.0050,0.0050
7091200011051003,Padova,3721,10.0000,410.0000,410.0000,410.0000,410.0000,410.0000,0.0000,0.0000,0.0000,0.0000
7091200010046000,Padova,3516,3.0000,125.0000,128.1250,128.1250,128.1250,128.1250,-3.1250,-3.1250,-3.1250,-3.1250
7091200011117006,Padova,3516,26.0000,911.1300,866.1250,866.1250,866.1250,866.1250,45.0050,45.0050,45.0050,45.0050
7091200011139008,Padova,3516,20.0000,721.5000,676.5000,676.5000,676.5000,676.5000,45.0000,45.0000,45.0000,45.0000
7091200011147003,Padova,3911,19.0000,695.8800,650.8750,650.8750,650.8750,650.8750,45.0050,45.0050,45.0050,45.0050
7091200011178007,Padova,3721,16.0000,603.6300,558.6250,558.6250,558.6250,558.6250,45.0050,45.0050,45.0050,45.0050
7091200011207004,Padova,3516,22.0000,757.3800,712.3750,712.3750,712.3750,712.3750,45.0050,45.0050,45.0050,45.0050
7091200011235007,Padova,3314,17.0000,644.6300,599.6250,599.6250,599.6250,599.6250,45.0050,45.0050,45.0050,45.0050
7091200011225008,Padova,3721,14.0000,557.5000,512.5000,512.5000,512.5000,512.5000,45.0000,45.0000,45.0000,45.0000
7091200011137004,Padova,3314,13.0000,552.3800,507.3750,507.3750,507.3750,507.3750,45.0050,45.0050,45.0050,45.0050
7091200011058002,Padova,3516,27.0000,941.8800,896.8750,896.8750,896.8750,896.8750,45.0050,45.0050,45.0050,45.0050
7091200011083004,Padova,3721,13.7000,602.5000,512.5000,512.5000,507.3750,510.9625,90.0000,90.0000,95.1250,91.5375
7091200011095007,Padova,3911,16.0000,603.6300,558.6250,558.6250,558.6250,558.6250,45.0050,45.0050,45.0050,45.0050
7091200011090002,Padova,3721,17.0000,644.6300,599.6250,599.6250,599.6250,599.6250,45.0050,45.0050,45.0050,45.0050
7091200010893000,Padova,3516,10.0000,410.0000,410.0000,410.0000,410.0000,410.0000,0.0000,0.0000,0.0000,0.0000
7091200010892003,Padova,3516,1.2500,82.0000,56.3750,82.0000,56.3750,62.7812,25.6250,0.0000,25.6250,19.2188
7091200010827005,Padova,3516,2.0000,82.0000,82.0000,82.0000,82.0000,82.0000,0.0000,0.0000,0.0000,0.0000
7091200010825001,Padova,3516,24.0000,784.1300,784.1250,784.1250,784.1250,784.1250,0.0050,0.0050,0.0050,0.0050
7091200010863003,Padova,3516,22.0000,712.3800,712.3750,712.3750,712.3750,712.3750,0.0050,0.0050,0.0050,0.0050
7091200010862006,Padova,3516,31.0000,1076.2500,1076.2500,1076.2500,1076.2500,1076.2500,0.0000,0.0000,0.0000,0.0000
7091200010865007,Padova,3516,9.0000,384.3800,384.3750,384.3750,384.3750,384.3750,0.0050,0.0050,0.0050,0.0050
7091200010869005,Padova,3516,15.0000,527.8800,527.8750,527.8750,527.8750,527.8750,0.0050,0.0050,0.0050,0.0050
7091200011339002,Padova,3516,15.0000,572.8800,527.8750,527.8750,527.8750,527.8750,45.0050,45.0050,45.0050,45.0050
7091200011323001,Padova,3721,29.0000,1454.3800,948.1250,948.1250,948.1250,948.1250,506.2550,506.2550,506.2550,506.2550
7091200011350007,Padova,3721,18.0000,675.3800,630.3750,630.3750,630.3750,630.3750,45.0050,45.0050,45.0050,45.0050
7091200011357006,Padova,3721,14.0000,602.5000,512.5000,512.5000,512.5000,512.5000,90.0000,90.0000,90.0000,90.0000
7091200011386006,Padova,3504,24.0000,829.1300,784.1250,784.1250,784.1250,784.1250,45.0050,45.0050,45.0050,45.0050
7091200011409002,Padova,3504,19.5000,721.5000,676.5000,676.5000,650.8750,663.6875,45.0000,45.0000,70.6250,57.8125
7091200011418004,Padova,3504,18.0000,675.3800,630.3750,630.3750,630.3750,630.3750,45.0050,45.0050,45.0050,45.0050
7091200011424005,Padova,3721,12.0000,521.6300,476.6250,476.6250,476.6250,476.6250,45.0050,45.0050,45.0050,45.0050
7091200011486003,Padova,3314,17.0000,689.6300,599.6250,599.6250,599.6250,599.6250,90.0050,90.0050,90.0050,90.0050
7091200011488007,Padova,3504,18.0000,720.3800,630.3750,630.3750,630.3750,630.3750,90.0050,90.0050,90.0050,90.0050
7091000266039005,Padova,3911,,224.1700,,,,,,,,
7091200011500006,Padova,3721,8.0000,322.8800,322.8750,322.8750,322.8750,322.8750,0.0050,0.0050,0.0050,0.0050
7091200011523005,Padova,3703,35.0000,1121.2500,1076.2500,1076.2500,1076.2500,1076.2500,45.0000,45.0000,45.0000,45.0000
7091200011442009,Padova,3721,15.0000,527.8800,527.8750,527.8750,527.8750,527.8750,0.0050,0.0050,0.0050,0.0050
7091200011545007,Padova,3504,21.0000,830.4000,691.8750,691.8750,691.8750,691.8750,138.5250,138.5250,138.5250,138.5250
7091200011562004,Padova,3504,19.0000,695.8800,650.8750,650.8750,650.8750,650.8750,45.0050,45.0050,45.0050,45.0050
7091200011537002,Padova,3721,23.0000,798.3800,753.3750,753.3750,753.3750,753.3750,45.0050,45.0050,45.0050,45.0050
7091200011192003,Padova,3911,13.0000,552.3800,507.3750,507.3750,507.3750,507.3750,45.0050,45.0050,45.0050,45.0050
7091200011222007,Padova,3516,19.0000,695.8800,650.8750,650.8750,650.8750,650.8750,45.0050,45.0050,45.0050,45.0050
7091200011256002,Padova,3721,13.0000,552.3800,507.3750,507.3750,507.3750,507.3750,45.0050,45.0050,45.0050,45.0050
7091200011263000,Padova,3721,20.5000,781.8800,676.5000,691.8750,676.5000,684.1875,105.3800,90.0050,105.3800,97.6925
7091200011299009,Padova,3516,20.0000,721.5000,676.5000,676.5000,676.5000,676.5000,45.0000,45.0000,45.0000,45.0000
7091200011318007,Padova,3516,14.0000,557.5000,512.5000,512.5000,512.5000,512.5000,45.0000,45.0000,45.0000,45.0000
7091200011293007,Padova,3516,30.0000,1063.7500,973.7500,973.7500,973.7500,973.7500,90.0000,90.0000,90.0000,90.0000
7091200011325005,Padova,3721,6.0000,246.0000,246.0000,246.0000,246.0000,246.0000,0.0000,0.0000,0.0000,0.0000
7091200011623002,Padova,3504,30.0000,1041.9100,973.7500,973.7500,973.7500,973.7500,68.1600,68.1600,68.1600,68.1600
7091200011642003,Padova,3504,4.0000,191.9400,179.3750,179.3750,179.3750,179.3750,12.5650,12.5650,12.5650,12.5650
7091200011641006,Padova,3504,12.0000,509.9900,476.6250,476.6250,476.6250,476.6250,33.3650,33.3650,33.3650,33.3650
7091200011625006,Padova,3721,7.8500,390.4800,322.8750,322.8750,281.8750,316.7250,67.6050,67.6050,108.6050,73.7550
7091200011657007,Padova,3504,3.0000,137.1000,128.1250,128.1250,128.1250,128.1250,8.9750,8.9750,8.9750,8.9750
7091200011653009,Padova,3504,8.0000,345.4800,322.8750,322.8750,322.8750,322.8750,22.6050,22.6050,22.6050,22.6050
7091200011683006,Padova,3504,9.0100,438.7000,384.3750,410.0000,384.3750,384.6312,54.3250,28.7000,54.3250,54.0688
7092010047622004,Padova,3504,9.0000,411.2900,384.3750,384.3750,384.3750,384.3750,26.9150,26.9150,26.9150,26.9150
7091200011698000,Padova,3721,16.0000,597.7300,558.6250,558.6250,558.6250,558.6250,39.1050,39.1050,39.1050,39.1050
7091200011696006,Padova,3504,8.0000,345.4800,322.8750,322.8750,322.8750,322.8750,22.6050,22.6050,22.6050,22.6050
7091200011723009,Padova,3504,30.0000,1131.9100,973.7500,973.7500,973.7500,973.7500,158.1600,158.1600,158.1600,158.1600
7091200011751002,Padova,3721,14.0000,548.3800,512.5000,512.5000,512.5000,512.5000,35.8800,35.8800,35.8800,35.8800
7091200011752009,Padova,3721,26.0000,971.7600,866.1250,866.1250,866.1250,866.1250,105.6350,105.6350,105.6350,105.6350
7091200011762008,Padova,3721,18.0000,719.5100,630.3750,630.3750,630.3750,630.3750,89.1350,89.1350,89.1350,89.1350
7091200011763005,Padova,3721,21.0000,740.3100,691.8750,691.8750,691.8750,691.8750,48.4350,48.4350,48.4350,48.4350
7091200011778009,Padova,3721,35.0000,1241.5900,1076.2500,1076.2500,1076.2500,1076.2500,165.3400,165.3400,165.3400,165.3400
7091200011788008,Padova,3721,35.0000,1151.5900,1076.2500,1076.2500,1076.2500,1076.2500,75.3400,75.3400,75.3400,75.3400
7091200011808003,Padova,3721,23.0000,851.1200,753.3750,753.3750,753.3750,753.3750,97.7450,97.7450,97.7450,97.7450
7091200011838000,Padova,3721,15.0000,564.8300,527.8750,527.8750,527.8750,527.8750,36.9550,36.9550,36.9550,36.9550
7091200011794009,Padova,3721,17.0000,686.6000,599.6250,599.6250,599.6250,599.6250,86.9750,86.9750,86.9750,86.9750
7091200011459007,Padova,3504,8.0000,345.4800,322.8750,322.8750,322.8750,322.8750,22.6050,22.6050,22.6050,22.6050
7091200011457003,Padova,3504,4.0000,191.9400,179.3750,179.3750,179.3750,179.3750,12.5650,12.5650,12.5650,12.5650
7091200011576001,Padova,3504,3.0000,137.1000,128.1250,128.1250,128.1250,128.1250,8.9750,8.9750,8.9750,8.9750
7091200011570009,Padova,3504,8.0000,345.4800,322.8750,322.8750,322.8750,322.8750,22.6050,22.6050,22.6050,22.6050
7091200011606005,Padova,3314,4.0000,191.9400,179.3750,179.3750,179.3750,179.3750,12.5650,12.5650,12.5650,12.5650
7091200011590007,Padova,3314,9.0000,411.2900,384.3750,384.3750,384.3750,384.3750,26.9150,26.9150,26.9150,26.9150
7091200011610002,Padova,3314,7.0000,301.6100,281.8750,281.8750,281.8750,281.8750,19.7350,19.7350,19.7350,19.7350
7091200011613003,Padova,3314,6.0000,263.2200,246.0000,246.0000,246.0000,246.0000,17.2200,17.2200,17.2200,17.2200
7091200011851009,Padova,3721,20.0000,813.8600,676.5000,676.5000,676.5000,676.5000,137.3600,137.3600,137.3600,137.3600
